,zip_code,latitude,longitude,city,state,county,digit
12610,29556,33.663869,-79.837756,Kingstree,SC,Williamsburg,2
12611,29560,33.908371,-79.743104,Lake City,SC,Florence,2
12612,29563,34.350121,-79.24067600000001,Lake View,SC,Dillon,2
12613,29564,33.598355,-79.709369,Lane,SC,Williamsburg,2
12614,29565,34.384337,-79.478122,Latta,SC,Dillon,2
12615,29566,33.816472,-78.758018,Little River,SC,Horry,2
12616,29567,34.495502,-79.34816500000001,Little Rock,SC,Dillon,2
12617,29568,33.833574,-78.88526800000001,Longs,SC,Horry,2
12618,29569,33.977392,-78.918109,Loris,SC,Horry,2
12619,29570,34.686733000000004,-79.555879,Mc Coll,SC,Marlboro,2
12620,29571,34.164144,-79.363948,Marion,SC,Marion,2
12621,29572,33.711740999999996,-78.852005,Myrtle Beach,SC,Horry,2
12622,29573,34.488255,-79.47685899999999,Minturn,SC,Dillon,2
12623,29574,34.159262,-79.27322099999999,Mullins,SC,Marion,2
12624,29575,33.7577,-78.907599,Myrtle Beach,SC,Horry,2
12625,29576,33.529641999999996,-79.04822,Murrells Inlet,SC,Georgetown,2
12626,29577,33.788817,-78.96918000000001,Myrtle Beach,SC,Horry,2
12627,29578,33.738887,-78.999561,Myrtle Beach,SC,Horry,2
12628,29579,33.737697,-78.97865300000001,Myrtle Beach,SC,Horry,2
12629,29580,33.598355,-79.709369,Nesmith,SC,Williamsburg,2
12630,29581,34.000746,-79.102314,Nichols,SC,Horry,2
12631,29582,33.770465,-78.77183199999999,North Myrtle Beach,SC,Horry,2
12632,29583,33.972437,-79.59917,Pamplico,SC,Florence,2
12633,29584,34.591848999999996,-80.170691,Patrick,SC,Chesterfield,2
12634,29585,33.464107,-79.183904,Pawleys Island,SC,Georgetown,2
12635,29587,33.621094,-78.963155,Myrtle Beach,SC,Horry,2
12636,29588,,,Myrtle Beach,SC,Horry,2
12637,29589,34.105265,-79.32211600000001,Rains,SC,Marion,2
12638,29590,33.598355,-79.709369,Salters,SC,Williamsburg,2
12639,29591,33.937275,-79.769899,Scranton,SC,Florence,2
12640,29592,34.258010999999996,-79.47829200000001,Sellers,SC,Marion,2
12641,29593,34.442018,-79.88049699999999,Society Hill,SC,Darlington,2
12642,29594,34.64051,-79.586895,Tatum,SC,Marlboro,2
12643,29596,34.732321999999996,-79.829665,Wallace,SC,Marlboro,2
12644,29597,33.785803,-78.971795,North Myrtle Beach,SC,Horry,2
12645,29598,33.935814,-78.919205,North Myrtle Beach,SC,Horry,2
12646,29601,34.848566999999996,-82.40287099999999,Greenville,SC,Greenville,2
12647,29602,34.800717999999996,-82.39559399999999,Greenville,SC,Greenville,2
12648,29603,34.837666,-82.37151899999999,Greenville,SC,Greenville,2
12649,29604,34.849745,-82.453779,Greenville,SC,Greenville,2
12650,29605,34.772107,-82.374371,Greenville,SC,Greenville,2
12651,29606,34.849745,-82.453779,Greenville,SC,Greenville,2
12652,29607,34.909132,-82.384232,Greenville,SC,Greenville,2
12653,29608,34.849745,-82.453779,Greenville,SC,Greenville,2
12654,29609,34.902126,-82.386943,Greenville,SC,Greenville,2
12655,29610,34.849745,-82.453779,Greenville,SC,Greenville,2
12656,29611,34.83889,-82.420851,Greenville,SC,Greenville,2
12657,29612,34.849745,-82.453779,Greenville,SC,Greenville,2
12658,29613,34.924876,-82.433132,Greenville,SC,Greenville,2
12659,29614,34.872423,-82.362585,Greenville,SC,Greenville,2
12660,29615,34.938893,-82.358999,Greenville,SC,Greenville,2
12661,29616,34.849745,-82.453779,Greenville,SC,Greenville,2
12662,29617,34.955463,-82.465633,Greenville,SC,Greenville,2
12663,29620,34.215714,-82.44630699999999,Abbeville,SC,Abbeville,2
12664,29621,34.492717999999996,-82.638297,Anderson,SC,Anderson,2
12665,29622,34.491988,-82.78286800000001,Anderson,SC,Anderson,2
12666,29623,34.438087,-82.835449,Anderson,SC,Anderson,2
